lemma,count
reminiscence,10
whirl,10
copper,10
MOTHER,10
tankard,10
midnight,10
impression,10
desk,10
countenance,10
faithful,10
relief,10
mask,10
cheque,10
ale,10
rustle,10
dancing,10
feminine,10
Guinness,10
caretaker,9
Alice,9
telephone,9
oblige,9
accident,9
jet,9
boss,9
poke,9
cash,9
lo,9
escape,9
conversation,9
jar,9
behold,9
farth,9
owner,9
remedy,9
equally,9
strawberry,9
blast,9
represent,9
hay,9
growth,9
knowledge,9
universal,9
herring,9
native,9
turkish,9
reign,9
gradually,9
wrap,9
occur,9
fog,9
squint,9
prime,9
dung,9
noon,9
poster,9
detach,9
bolt,9
bulge,9
local,9
Wilde,9
Arthur,9
weapon,9
connect,9
insert,9
mouse,9
butt,9
par,9
ascend,9
string,9
eunuch,9
Eve,9
honest,9
beverage,9
relish,9
Gardiner,9
drift,9
hop,9
foul,9
violent,9
convent,9
bedroom,9
widower,9
calmly,9
introduce,9
fully,9
gap,9
picnic,9
rage,9
instruction,9
player,9
ordinary,9
kingdom,9
awake,9
Si,9
patient,9
artist,9
neatly,9
auction,9
haunt,9
te,9
pie,9
Wisdom,9
woe,9
Hotel,9
O,9
league,9
matrimonial,9
bachelor,9
yield,9
House,9
payment,9
brace,9
career,9
missus,9
exist,9
valise,9
Egan,9
greatly,9
thoughtfully,9
electric,9
Mother,9
abandon,9
mariner,9
Gallaher,9
reading,9
waltz,9
patent,9
plum,9
SECOND,9
text,9
sadly,9
baton,9
immediate,9
standard,9
relieve,9
starve,9
earnestly,9
cissy,9
bundle,9
Belfast,9
spur,9
Callan,9
Island,9
lawn,9
Gaiety,9
slaughter,9
slave,9
fortune,9
gloom,9
hum,9
rear,9
Maggy,9
void,9
linen,9
chase,9
Keogh,9
Katey,9
Ennis,9
passion,9
Virgin,9
professional,9
eagle,9
clip,9
chapel,9
idiot,9
champion,9
Almidano,9
pan,9
Artifoni,9
emerald,9
ribbon,9
important,9
honey,9
gravedigger,9
upstairs,9
o’hanlon,9
extreme,9
attendant,9
offence,9
affection,9
scan,9
droop,9
counsel,9
exclaim,9
atmosphere,9
range,9
nymph,9
hallway,9
hearth,9
melt,9
pebble,9
monster,9
farewell,9
Jimmy,9
mantle,9
trace,9
murderer,9
programme,9
authority,9
ll,9
tumble,9
manage,9
conceal,9
Galway,9
Lionel,9
Maria,9
sword,9
patience,9
sober,9
stroll,9
Dame,9
recent,9
